,account,tran_stocks_all,tran_stocks_ipo,ipo_rate
0,65008008,31,8,0.25806451612903225
10,61882008,103,103,1.0
15,63066908,44,44,1.0
16,65007528,8,0,0.0
17,61823268,45,45,1.0
18,61824708,33,31,0.9393939393939394
19,61891458,14,14,1.0
20,61825118,36,34,0.9444444444444444
21,61855498,74,55,0.7432432432432432
22,61826758,42,40,0.9523809523809523
23,61855788,55,43,0.7818181818181819
24,61825128,37,35,0.9459459459459459
25,61826728,36,34,0.9444444444444444
26,66069638,7,7,1.0
27,67068658,3,3,1.0
28,66077868,12,12,1.0
29,60826968,22,22,1.0
30,67058908,3,3,1.0
31,61840128,77,62,0.8051948051948052
32,61826278,19,12,0.631578947368421
33,67021988,8,8,1.0
34,67011208,9,9,1.0
35,62837298,24,24,1.0
36,60817328,110,58,0.5272727272727272
37,67017768,4,4,1.0
38,66087988,0,0,
39,61868978,36,36,1.0
40,67020838,5,5,1.0
41,61803268,31,31,1.0
42,61816666,31,28,0.9032258064516129
43,60008008,30,27,0.9
44,67020618,6,6,1.0
45,66021668,24,24,1.0
46,61849188,29,28,0.9655172413793104
47,66092178,15,15,1.0
48,63075578,11,10,0.9090909090909091
49,65075608,27,26,0.9629629629629629
50,65007608,29,29,1.0
51,61883388,17,11,0.6470588235294118
52,67006958,7,7,1.0
53,61831418,62,62,1.0
54,61826408,118,112,0.9491525423728814
55,67071988,0,0,
56,60815668,47,47,1.0
57,67028108,7,7,1.0
58,67080278,0,0,
59,69884808,50,46,0.92
60,67066678,3,3,1.0
61,69828888,56,54,0.9642857142857143
62,61896018,0,0,
63,63085838,26,25,0.9615384615384616
64,61874478,0,0,
65,63088208,14,14,1.0
66,67052078,3,3,1.0
67,61841688,2,2,1.0
68,61848718,34,29,0.8529411764705882
69,66075888,24,24,1.0
70,67029518,11,8,0.7272727272727273
71,67020088,6,6,1.0
72,63092918,31,31,1.0
73,61825698,22,22,1.0
74,66025218,9,9,1.0
75,61804618,27,27,1.0
76,61804298,72,64,0.8888888888888888
77,67018818,8,8,1.0
78,65020008,29,24,0.8275862068965517
79,66052788,11,10,0.9090909090909091
80,63029718,56,54,0.9642857142857143
81,61850678,21,18,0.8571428571428571
82,66087218,20,20,1.0
83,68006658,1,0,0.0
84,66096228,17,15,0.8823529411764706
85,67809328,33,33,1.0
86,63091788,19,19,1.0
87,67006188,14,14,1.0
88,63088538,50,50,1.0
89,61896678,41,41,1.0
90,67057818,3,3,1.0
91,62082038,29,27,0.9310344827586207
93,61879258,79,78,0.9873417721518988
