account,tran_stocks_all,tran_stocks_ipo,ipo_rate
65008008,31,8,0.25806451612903225
61882008,103,103,1.0
63066908,44,44,1.0
65007528,8,0,0.0
61823268,45,45,1.0
61824708,33,31,0.9393939393939394
61891458,14,14,1.0
61825118,36,34,0.9444444444444444
61855498,74,55,0.7432432432432432
61826758,42,40,0.9523809523809523
61855788,55,43,0.7818181818181819
61825128,37,35,0.9459459459459459
61826728,36,34,0.9444444444444444
66069638,7,7,1.0
67068658,3,3,1.0
66077868,12,12,1.0
60826968,22,22,1.0
67058908,3,3,1.0
61840128,77,62,0.8051948051948052
61826278,19,12,0.631578947368421
67021988,8,8,1.0
67011208,9,9,1.0
62837298,24,24,1.0
60817328,110,58,0.5272727272727272
67017768,4,4,1.0
66087988,0,0,
61868978,36,36,1.0
67020838,5,5,1.0
61803268,31,31,1.0
61816666,31,28,0.9032258064516129
60008008,30,27,0.9
67020618,6,6,1.0
66021668,24,24,1.0
61849188,29,28,0.9655172413793104
66092178,15,15,1.0
63075578,11,10,0.9090909090909091
65075608,27,26,0.9629629629629629
65007608,29,29,1.0
61883388,17,11,0.6470588235294118
67006958,7,7,1.0
61831418,62,62,1.0
61826408,118,112,0.9491525423728814
67071988,0,0,
60815668,47,47,1.0
67028108,7,7,1.0
67080278,0,0,
69884808,50,46,0.92
67066678,3,3,1.0
69828888,56,54,0.9642857142857143
61896018,0,0,
63085838,26,25,0.9615384615384616
61874478,0,0,
63088208,14,14,1.0
67052078,3,3,1.0
61841688,2,2,1.0
61848718,34,29,0.8529411764705882
66075888,24,24,1.0
67029518,11,8,0.7272727272727273
67020088,6,6,1.0
63092918,31,31,1.0
61825698,22,22,1.0
66025218,9,9,1.0
61804618,27,27,1.0
61804298,72,64,0.8888888888888888
67018818,8,8,1.0
65020008,29,24,0.8275862068965517
66052788,11,10,0.9090909090909091
63029718,56,54,0.9642857142857143
61850678,21,18,0.8571428571428571
66087218,20,20,1.0
68006658,1,0,0.0
66096228,17,15,0.8823529411764706
67809328,33,33,1.0
63091788,19,19,1.0
67006188,14,14,1.0
63088538,50,50,1.0
61896678,41,41,1.0
67057818,3,3,1.0
62082038,29,27,0.9310344827586207
61879258,79,78,0.9873417721518988
61849968,46,46,1.0
67055978,2,2,1.0
63022988,16,16,1.0
67020518,12,11,0.9166666666666666
63022118,14,14,1.0
61888978,57,51,0.8947368421052632
67051108,8,7,0.875
65000758,4,4,1.0
66069168,7,7,1.0
66018018,34,32,0.9411764705882353
63077038,62,53,0.8548387096774194
66022968,2,2,1.0
61840008,89,86,0.9662921348314607
68002238,0,0,
67026098,2,2,1.0
61803078,22,22,1.0
61873168,51,51,1.0
67020678,13,13,1.0
63072108,60,58,0.9666666666666667
61879278,49,49,1.0
66078038,20,17,0.85
63066258,7,5,0.7142857142857143
66091058,34,20,0.5882352941176471
67018728,1,0,0.0
63067598,40,40,1.0
61824658,10,10,1.0
63020578,29,29,1.0
67028718,0,0,
60010658,7,7,1.0
61802958,94,92,0.9787234042553191
65018288,9,9,1.0
61829358,56,55,0.9821428571428571
61891768,40,40,1.0
61805558,111,108,0.972972972972973
61829328,60,59,0.9833333333333333
61881908,28,28,1.0
61847088,39,39,1.0
61881808,34,34,1.0
60002588,65,54,0.8307692307692308
61858678,35,31,0.8857142857142857
69828788,11,11,1.0
69828828,17,17,1.0
69828558,15,15,1.0
69828818,14,14,1.0
61807178,15,15,1.0
69828728,20,20,1.0
66099698,6,6,1.0
90788881,25,0,0.0
67005588,1,0,0.0
61865988,16,16,1.0
69841598,40,3,0.075
67055968,1,1,1.0
65021858,26,19,0.7307692307692307
66061978,14,13,0.9285714285714286
66055038,16,0,0.0
61804528,71,64,0.9014084507042254
67066228,1,1,1.0
66070678,14,13,0.9285714285714286
60818128,65,65,1.0
67080928,0,0,
67065028,1,1,1.0
66080588,3,3,1.0
65025158,21,20,0.9523809523809523
66021688,21,20,0.9523809523809523
60817018,13,12,0.9230769230769231
62890808,16,16,1.0
61802778,81,73,0.9012345679012346
66080708,11,11,1.0
62846668,7,7,1.0
61824028,14,13,0.9285714285714286
60802098,29,27,0.9310344827586207
66069698,7,7,1.0
61803378,54,50,0.9259259259259259
61847778,91,89,0.978021978021978
60812388,25,23,0.92
67020798,8,7,0.875
67061228,2,2,1.0
69843578,38,38,1.0
61877028,43,42,0.9767441860465116
67077168,1,1,1.0
66076818,16,16,1.0
65018218,38,36,0.9473684210526315
66028918,15,8,0.5333333333333333
61881008,80,80,1.0
60811618,24,22,0.9166666666666666
61825688,86,68,0.7906976744186046
66029928,35,35,1.0
67022658,10,9,0.9
69809658,49,25,0.5102040816326531
66066128,27,27,1.0
90788888,452,0,0.0
65027678,31,31,1.0
61884608,45,45,1.0
60826628,42,42,1.0
63000188,76,49,0.6447368421052632
66081998,20,20,1.0
67010508,16,15,0.9375
61854898,78,78,1.0
61806358,152,120,0.7894736842105263
67057108,0,0,
66071128,50,32,0.64
65027798,45,44,0.9777777777777777
69822618,18,18,1.0
61804158,64,58,0.90625
61843268,37,37,1.0
63009538,18,6,0.3333333333333333
68840078,36,36,1.0
62095088,31,31,1.0
67096068,0,0,
63080968,19,9,0.47368421052631576
65019538,8,8,1.0
66096788,4,2,0.5
69843758,14,13,0.9285714285714286
63092008,12,12,1.0
66098538,20,20,1.0
66098278,14,14,1.0
63025198,39,35,0.8974358974358975
66080688,29,7,0.2413793103448276
63018798,53,6,0.11320754716981132
61871478,23,20,0.8695652173913043
60089968,40,35,0.875
61822298,64,64,1.0
67006898,7,7,1.0
66098088,21,0,0.0
62021168,46,46,1.0
67011058,5,5,1.0
60018138,25,25,1.0
67001088,17,17,1.0
67021758,4,4,1.0
61860498,52,51,0.9807692307692307
66097058,18,18,1.0
67844488,37,37,1.0
61848988,33,33,1.0
67008538,4,4,1.0
66055988,18,17,0.9444444444444444
66061508,15,15,1.0
61802828,79,74,0.9367088607594937
69813468,64,51,0.796875
61853978,40,40,1.0
66087908,11,11,1.0
66077298,12,12,1.0
65059508,47,38,0.8085106382978723
66061238,13,13,1.0
61887958,80,80,1.0
66061568,22,19,0.8636363636363636
66071528,20,20,1.0
69828478,28,27,0.9642857142857143
67022868,10,9,0.9
61892418,55,5,0.09090909090909091
67025158,2,2,1.0
61870498,75,54,0.72
66097668,5,5,1.0
69889258,18,16,0.8888888888888888
63068918,218,5,0.022935779816513763
69889908,29,29,1.0
63069258,28,20,0.7142857142857143
67072128,2,1,0.5
66097908,13,13,1.0
67017008,7,7,1.0
60815158,47,47,1.0
61848478,58,57,0.9827586206896551
62089968,12,12,1.0
61833578,77,74,0.961038961038961
67076688,2,2,1.0
66026808,4,4,1.0
61803588,11,11,1.0
65088918,26,22,0.8461538461538461
67012008,4,4,1.0
65018998,35,35,1.0
60829258,83,65,0.7831325301204819
63068228,40,40,1.0
67015528,17,17,1.0
62887428,55,55,1.0
66097188,15,15,1.0
61888788,32,18,0.5625
63000158,38,38,1.0
67001078,4,3,0.75
68841408,30,28,0.9333333333333333
67068518,1,1,1.0
63012908,17,17,1.0
60821468,13,11,0.8461538461538461
67007008,7,6,0.8571428571428571
60809918,14,14,1.0
67069768,2,2,1.0
61824318,45,45,1.0
65018668,51,49,0.9607843137254902
67021858,13,13,1.0
66082558,13,13,1.0
66092518,12,12,1.0
63086778,29,28,0.9655172413793104
65022668,21,21,1.0
66029088,20,19,0.95
66085198,7,7,1.0
67822388,102,58,0.5686274509803921
67017868,10,4,0.4
67025118,11,8,0.7272727272727273
67010198,6,6,1.0
61804288,72,72,1.0
61879488,54,51,0.9444444444444444
61843298,60,59,0.9833333333333333
67009518,9,9,1.0
63088788,18,17,0.9444444444444444
61806918,68,68,1.0
69886328,42,40,0.9523809523809523
61805198,66,66,1.0
66072258,32,32,1.0
61896268,31,31,1.0
66089288,13,13,1.0
61805268,76,76,1.0
63091678,15,15,1.0
61805358,60,60,1.0
61875968,26,26,1.0
66080208,4,4,1.0
67087998,0,0,
61857078,75,75,1.0
65056628,73,42,0.5753424657534246
65018138,11,11,1.0
61805808,62,62,1.0
69888788,28,28,1.0
66097558,32,20,0.625
61805378,56,56,1.0
67022298,13,13,1.0
65019268,30,30,1.0
66079188,18,18,1.0
67025058,7,7,1.0
61831868,53,42,0.7924528301886793
61891178,10,10,1.0
61805978,62,62,1.0
69820028,35,35,1.0
67025528,1,1,1.0
67809308,28,28,1.0
66020818,3,3,1.0
67019628,5,5,1.0
61867398,33,33,1.0
61806388,65,65,1.0
69853618,44,44,1.0
66068818,5,5,1.0
69869008,29,25,0.8620689655172413
67028908,1,1,1.0
62052178,55,55,1.0
69841578,56,56,1.0
62026088,45,45,1.0
67069178,2,2,1.0
61827208,39,39,1.0
61821318,24,23,0.9583333333333334
63008558,59,49,0.8305084745762712
69876458,47,37,0.7872340425531915
63021278,20,18,0.9
61828588,19,19,1.0
61850328,31,31,1.0
67092658,0,0,
61804998,71,71,1.0
65006158,18,18,1.0
69890808,15,15,1.0
67016298,7,4,0.5714285714285714
67001118,9,9,1.0
63071168,44,44,1.0
60820688,51,46,0.9019607843137255
66090558,12,12,1.0
62092688,18,18,1.0
66020238,21,21,1.0
61805528,56,55,0.9821428571428571
66020088,26,26,1.0
66079568,46,36,0.782608695652174
67057688,5,4,0.8
60008888,20,19,0.95
66079288,7,7,1.0
61858088,9,9,1.0
67011708,16,16,1.0
66085788,8,8,1.0
62096278,17,17,1.0
63007728,20,19,0.95
62080208,19,19,1.0
69849208,40,40,1.0
67075138,1,0,0.0
62088598,35,29,0.8285714285714286
61835118,200,0,0.0
60817358,7,6,0.8571428571428571
61887378,12,10,0.8333333333333334
62088238,42,40,0.9523809523809523
67855798,8,8,1.0
60820358,7,7,1.0
61801828,54,40,0.7407407407407407
66097708,5,5,1.0
61821098,32,32,1.0
61824308,64,64,1.0
65021198,21,21,1.0
60819178,6,6,1.0
67017528,5,5,1.0
67069918,1,1,1.0
65008678,9,7,0.7777777777777778
67021008,4,4,1.0
61880868,69,69,1.0
61824478,55,41,0.7454545454545455
61846058,31,28,0.9032258064516129
65022828,11,11,1.0
67000928,15,15,1.0
66010078,31,31,1.0
66052908,15,14,0.9333333333333333
62080928,29,29,1.0
67855718,30,27,0.9
63090118,35,34,0.9714285714285714
65011028,23,21,0.9130434782608695
62071698,4,4,1.0
61856828,76,76,1.0
62089668,39,38,0.9743589743589743
67001698,11,11,1.0
67067228,6,6,1.0
61820118,29,29,1.0
66082198,6,6,1.0
67050518,6,6,1.0
67018508,2,2,1.0
69848688,16,16,1.0
69818608,44,42,0.9545454545454546
61821728,76,76,1.0
61822358,63,63,1.0
61827558,66,66,1.0
61822308,37,37,1.0
67065288,1,1,1.0
66077238,4,4,1.0
61827758,71,69,0.971830985915493
67010758,12,11,0.9166666666666666
62080898,26,25,0.9615384615384616
67060228,4,3,0.75
69832828,25,25,1.0
63071138,51,51,1.0
67005578,16,16,1.0
60816828,50,11,0.22
63077188,61,37,0.6065573770491803
60829408,6,6,1.0
66066778,19,18,0.9473684210526315
66026608,28,28,1.0
60002868,10,10,1.0
