funds_account,stat_time_day,total_deposit_amount,total_withdraw_amount,assets_start,assets_end,in,out,rate,pro_in,pro_ot
10881088,2018-02-02,0.0,141859.0,139082.48,0.0,139082.48,141859.0,1.0199631182877957,0.0,0.0
11351356,2019-05-07,144502.0,62975.0,0.0,80521.34,144502.0,143496.34,0.9930405115500132,0.0,0.0
11886666,2019-03-29,45848.0,11000.0,0.0,40848.65,45848.0,51848.65,1.1308813906822544,0.0,0.0
12260609,2019-03-18,127000.0,4888.0,0.0,119021.59,127000.0,123909.59,0.975666062992126,0.0,0.0
18669555,2019-10-30,34000.0,19807.0,0.0,15662.39,34000.0,35469.39,1.0432173529411763,0.0,0.0
19751008,2018-05-18,2000000.0,540000.0,2985860.66,3309329.57,4985860.66,3849329.57,0.7720491671341653,0.0,0.0
19860923,2019-04-15,70000.0,15867.0,0.0,66098.15,70000.0,81965.15,1.1709307142857142,0.0,0.0
19880312,2018-05-18,0.0,12980.0,11404.76,9.17,11404.76,12989.17,1.138925325916547,0.0,0.0
19880818,2018-02-02,6.0,6080.0,11012.83,0.0,11018.83,6080.0,0.5517827210329953,0.0,0.0
20070608,2018-12-04,221200.0,125100.0,204131.12,440401.57,425331.12,565501.5700000001,1.3295560644610254,0.0,0.0
20081218,2018-01-12,800100.0,100.0,334777.31,1295237.93,1134877.31,1295337.93,1.1413902794479165,0.0,0.0
20100069,2018-11-13,0.0,10.0,8963.22,7884.89,8963.22,7894.89,0.8808095751303662,0.0,0.0
20171101,2018-07-18,1339.0,100.0,284.9,-4855.13,1623.9,-4755.13,-2.928216023154135,0.0,0.0
20429012,2019-02-18,135610.0,82267.0,0.0,60378.99,135610.0,142645.99,1.0518840056043064,0.0,0.0
28808057,2019-05-14,15697.0,15931.0,0.0,0.0,15697.0,15931.0,1.0149073071287507,0.0,0.0
33333333,2019-03-22,18315280.0,18438358.0,103719.66,0.0,18534279.66,18550038.0,1.0008502267306352,115280.0,111680.0
33946889,2019-05-14,23950.0,22400.0,0.0,3032.61,23950.0,25432.61,1.0619043841336118,0.0,0.0
36393828,2019-05-22,19000.0,11879.0,0.0,11933.76,19000.0,23812.760000000002,1.253303157894737,0.0,0.0
53159995,2019-04-24,10000.0,10000.0,0.0,189.75,10000.0,10189.75,1.018975,0.0,0.0
54458866,2019-03-04,71688.0,55701.0,0.0,0.0,71688.0,81461.0,1.1363268608414239,0.0,25760.000000000004
59352575,2019-03-11,130000.0,59236.0,0.0,70447.43,130000.0,129683.43,0.9975648461538461,0.0,0.0
60000058,2019-02-27,79834.0,64920.0,0.0,23756.52,118925.0,132596.52000000002,1.1149591759512298,39091.0,43920.0
60000118,2019-01-11,1800.0,20097.0,21000.17,13.85,22800.17,20110.85,0.882048247885871,0.0,0.0
60000138,2018-12-11,100.0,22481.0,20093.74,0.0,20193.74,22481.0,1.1132657942510895,0.0,0.0
60000198,2018-12-12,0.0,23801.0,29462.95,16918.09,29462.95,40719.09,1.3820438890199385,0.0,0.0
60000558,2018-12-13,28401.0,28385.0,19938.15,21194.84,48339.15,49579.84,1.0256663594622577,0.0,0.0
60000658,2018-12-06,0.0,2475.0,28433.02,45892.3,28433.02,48367.3,1.7010961199337953,0.0,0.0
60000838,2018-12-27,26000.0,27973.0,11009.23,11546.76,37009.229999999996,39519.76,1.0678352400198547,0.0,0.0
60000888,2019-03-20,5141.0,24341.0,22414.26,9365.57,27555.26,37036.57,1.3440834889600026,0.0,3330.0000000000005
60000928,2018-12-18,10000.0,10200.0,22061.49,31192.7,32061.49,41392.7,1.2910410589152281,0.0,0.0
60000988,2018-12-06,120001.0,185723.0,54073.81,0.0,174074.81,185723.0,1.066914851149342,0.0,0.0
60001668,2018-12-19,352000.0,79896.0,125819.93,443466.71,477819.93,523362.71,1.0953136885688297,0.0,0.0
60001678,2018-12-11,25444.0,39508.0,21186.46,10242.02,46630.46,49750.020000000004,1.0668996188328403,0.0,0.0
60001808,2019-03-11,23237.0,22343.0,0.0,7520.45,23237.0,29863.45,1.2851680509532213,0.0,0.0
60002588,2018-12-10,615010.0,362000.0,25221.49,310151.0,640231.49,672151.0,1.049856201231214,0.0,0.0
60002738,2018-12-10,0.0,1000.0,18969.82,13575.53,18969.82,14575.53,0.7683536269716845,0.0,0.0
60002758,2019-01-08,7400.0,9177.0,4321.33,5262.34,11721.33,14439.34,1.231885801355307,0.0,0.0
60002868,2018-12-19,42200.0,53285.0,20180.14,7349.24,62380.14,60634.24,0.9720119255904203,0.0,0.0
60005018,2019-04-16,30000.0,38681.0,0.0,0.0,30000.0,38681.0,1.2893666666666668,0.0,0.0
60005058,2019-07-11,26875.0,16900.0,0.0,9561.1,26875.0,26461.1,0.9845990697674418,0.0,0.0
