account,balance_t,total,total_1,total_13,total_35,total_5,is_in,type
65008008,"[147, 0, 1, 0, 146]",147,0,1,0,146,True,3
61882008,"[147, 4, 143, 0, 0]",147,4,143,0,0,True,1
63066908,"[147, 0, 101, 46, 0]",147,0,101,46,0,True,1
65007528,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
61823268,"[147, 32, 115, 0, 0]",147,32,115,0,0,True,1
61824708,"[147, 0, 116, 31, 0]",147,0,116,31,0,True,1
61891458,"[147, 139, 8, 0, 0]",147,139,8,0,0,True,0
61825118,"[147, 0, 132, 15, 0]",147,0,132,15,0,True,1
61855498,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
61826758,"[147, 0, 121, 26, 0]",147,0,121,26,0,True,1
61855788,"[147, 0, 8, 26, 113]",147,0,8,26,113,True,3
61825128,"[147, 0, 116, 31, 0]",147,0,116,31,0,True,1
61826728,"[147, 0, 116, 31, 0]",147,0,116,31,0,True,1
66069638,"[124, 22, 94, 8, 0]",124,22,94,8,0,True,1
67068658,"[12, 2, 10, 0, 0]",12,2,10,0,0,True,1
66077868,"[119, 0, 119, 0, 0]",119,0,119,0,0,True,1
60826968,"[147, 36, 111, 0, 0]",147,36,111,0,0,True,1
67058908,"[15, 0, 15, 0, 0]",15,0,15,0,0,True,1
61840128,"[147, 1, 145, 1, 0]",147,1,145,1,0,True,1
61826278,"[147, 0, 144, 3, 0]",147,0,144,3,0,True,1
67021988,"[27, 20, 7, 0, 0]",27,20,7,0,0,True,0
67011208,"[47, 21, 26, 0, 0]",47,21,26,0,0,True,1
62837298,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
60817328,"[147, 0, 77, 70, 0]",147,0,77,70,0,True,1
67017768,"[44, 3, 41, 0, 0]",44,3,41,0,0,True,1
66087988,"[2, 1, 1, 0, 0]",2,1,1,0,0,True,0
61868978,"[147, 44, 103, 0, 0]",147,44,103,0,0,True,1
67020838,"[41, 0, 41, 0, 0]",41,0,41,0,0,True,1
61803268,"[147, 16, 131, 0, 0]",147,16,131,0,0,True,1
61816666,"[147, 1, 1, 143, 2]",147,1,1,143,2,True,2
60008008,"[147, 63, 84, 0, 0]",147,63,84,0,0,True,1
67020618,"[41, 1, 40, 0, 0]",41,1,40,0,0,True,1
66021668,"[142, 57, 71, 14, 0]",142,57,71,14,0,True,1
61849188,"[147, 0, 12, 0, 135]",147,0,12,0,135,True,3
66092178,"[72, 22, 50, 0, 0]",72,22,50,0,0,True,1
63075578,"[147, 0, 0, 77, 70]",147,0,0,77,70,True,2
65075608,"[54, 0, 54, 0, 0]",54,0,54,0,0,True,1
65007608,"[147, 29, 118, 0, 0]",147,29,118,0,0,True,1
61883388,"[147, 0, 0, 80, 67]",147,0,0,80,67,True,2
67006958,"[41, 0, 41, 0, 0]",41,0,41,0,0,True,1
61831418,"[147, 0, 126, 21, 0]",147,0,126,21,0,True,1
61826408,"[147, 0, 100, 16, 31]",147,0,100,16,31,True,1
67071988,"[3, 1, 2, 0, 0]",3,1,2,0,0,True,1
60815668,"[147, 0, 100, 47, 0]",147,0,100,47,0,True,1
67028108,"[32, 4, 28, 0, 0]",32,4,28,0,0,True,1
67080278,"[8, 0, 8, 0, 0]",8,0,8,0,0,True,1
69884808,"[147, 14, 133, 0, 0]",147,14,133,0,0,True,1
67066678,"[17, 0, 14, 3, 0]",17,0,14,3,0,True,1
69828888,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61896018,"[6, 0, 6, 0, 0]",6,0,6,0,0,True,1
63085838,"[147, 0, 137, 10, 0]",147,0,137,10,0,True,1
61874478,"[3, 1, 2, 0, 0]",3,1,2,0,0,True,1
63088208,"[147, 111, 36, 0, 0]",147,111,36,0,0,True,0
67052078,"[28, 1, 27, 0, 0]",28,1,27,0,0,True,1
61841688,"[17, 17, 0, 0, 0]",17,17,0,0,0,True,0
61848718,"[147, 138, 9, 0, 0]",147,138,9,0,0,True,0
66075888,"[73, 23, 50, 0, 0]",73,23,50,0,0,True,1
67029518,"[31, 6, 25, 0, 0]",31,6,25,0,0,True,1
67020088,"[41, 0, 41, 0, 0]",41,0,41,0,0,True,1
63092918,"[147, 0, 146, 1, 0]",147,0,146,1,0,True,1
61825698,"[147, 111, 36, 0, 0]",147,111,36,0,0,True,0
66025218,"[101, 19, 66, 16, 0]",101,19,66,16,0,True,1
61804618,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61804298,"[147, 1, 82, 62, 2]",147,1,82,62,2,True,1
67018818,"[43, 9, 34, 0, 0]",43,9,34,0,0,True,1
65020008,"[147, 0, 53, 0, 94]",147,0,53,0,94,True,3
66052788,"[121, 0, 121, 0, 0]",121,0,121,0,0,True,1
63029718,"[147, 1, 144, 2, 0]",147,1,144,2,0,True,1
61850678,"[147, 0, 27, 119, 1]",147,0,27,119,1,True,2
66087218,"[70, 4, 38, 28, 0]",70,4,38,28,0,True,1
68006658,"[2, 2, 0, 0, 0]",2,2,0,0,0,True,0
66096228,"[78, 0, 78, 0, 0]",78,0,78,0,0,True,1
67809328,"[147, 18, 129, 0, 0]",147,18,129,0,0,True,1
63091788,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
67006188,"[50, 31, 19, 0, 0]",50,31,19,0,0,True,0
63088538,"[147, 19, 65, 45, 18]",147,19,65,45,18,True,1
61896678,"[68, 3, 3, 0, 62]",68,3,3,0,62,True,3
67057818,"[18, 0, 18, 0, 0]",18,0,18,0,0,True,1
62082038,"[147, 83, 64, 0, 0]",147,83,64,0,0,True,0
61879258,"[147, 96, 51, 0, 0]",147,96,51,0,0,True,0
61849968,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
67055978,"[20, 13, 7, 0, 0]",20,13,7,0,0,True,0
63022988,"[147, 33, 114, 0, 0]",147,33,114,0,0,True,1
67020518,"[37, 0, 20, 17, 0]",37,0,20,17,0,True,1
63022118,"[147, 140, 7, 0, 0]",147,140,7,0,0,True,0
61888978,"[147, 128, 19, 0, 0]",147,128,19,0,0,True,0
67051108,"[28, 3, 25, 0, 0]",28,3,25,0,0,True,1
