account_id,cash_in_first_day,asset_first_out
10881088,2019-05-27,61856.92000000000000000000
11351356,2019-07-23,40368.91000000000000000000
11886666,2019-09-27,25588.01000000000000000000
12260609,2019-07-31,101142.97000000000000000000
18669555,2019-11-08,10100.77000000000000000000
19751008,2019-06-05,1964861.83000000000000000000
19860923,2019-12-18,63568.43000000000000000000
19880312,2019-06-24,9.17000000000000000000
19880818,2019-09-25,6592.82394000000000000000
20070608,2019-07-29,529975.60895000000000000000
20081218,2019-12-06,1257665.98955812947200000000
20100069,2019-09-25,6471.89033500000000000000
20171101,2019-12-06,-5642.20756508602800000000
20429012,2019-03-21,13067.44000000000000000000
28808057,2019-08-06,0E-20
33333333,2019-04-02,0E-20
33946889,2019-06-13,4704.72000000000000000000
36393828,2019-06-28,14964.74000000000000000000
53159995,2019-09-02,189.75000000000000000000
54458866,2019-07-10,0E-20
59352575,2019-03-21,9560.00000000000000000000
60000058,2019-09-17,60043.53000000000000000000
60000118,2019-08-09,13.91738000000000000000
60000138,2019-09-02,21784.17000000000000000000
60000198,2019-07-16,29896.08000000000000000000
60000558,2019-02-20,84.47000000000000000000
60000658,2019-09-13,32220.00000000000000000000
60000838,2019-04-29,11548.79000000000000000000
60000888,2019-03-19,17787.50000000000000000000
60000928,2019-08-13,12369.54000000000000000000
60000988,2019-02-11,49512.82000000000000000000
60001668,2019-12-17,518138.02253000000000000000
60001678,2019-04-12,5749.71000000000000000000
60001808,2019-10-28,16602.46000000000000000000
60002588,2019-04-23,553229.01000000000000000000
60002738,2019-11-27,13101.38000000000000000000
60002758,2019-04-01,6182.57000000000000000000
60002868,2019-03-15,3452.60000000000000000000
60005018,2019-07-10,34733.73000000000000000000
60005058,2019-12-13,16796.74000000000000000000
60005078,2019-07-26,0E-20
60005098,2019-09-24,0E-20
60005118,2019-06-18,0E-20
60005158,2019-10-25,25097.54000000000000000000
60005558,2019-03-04,0E-20
60005578,2019-09-05,0E-20
60005618,2019-05-24,0E-20
60006538,2019-10-25,18726.38000000000000000000
60006568,2019-12-10,23121.28000000000000000000
