account_id,cash_in_first_day,asset_first_in
11351356,2019-05-07,15026.17000000000000000000
11886666,2019-03-29,14995.44000000000000000000
12260609,2019-03-18,1593.32000000000000000000
18669555,2019-10-30,20000.00000000000000000000
19751008,2019-06-03,2468738.79000000000000000000
19860923,2019-04-15,20000.00000000000000000000
19880818,2019-08-02,8320.08376500000000000000
20070608,2019-03-12,125228.74246000000000000000
20081218,2019-02-18,49744.30475500000000000000
20171101,2019-03-22,80.66000000000000000000
20429012,2019-02-18,10000.00000000000000000000
28808057,2019-05-14,15683.00000000000000000000
33333333,2019-03-26,20513830.20148375320800000000
33946889,2019-05-14,15000.00000000000000000000
36393828,2019-05-22,15000.00000000000000000000
53159995,2019-04-24,10000.00000000000000000000
54458866,2019-03-04,30188.00000000000000000000
59352575,2019-03-11,50000.00000000000000000000
60000058,2019-02-27,23305.00000000000000000000
60000118,2019-04-17,5965.99000000000000000000
60000138,2019-04-11,18818.41000000000000000000
60000558,2019-02-15,19828.43000000000000000000
60000838,2019-02-18,15631.86000000000000000000
60000888,2019-03-20,16262.83000000000000000000
60000928,2019-09-30,23046.59000000000000000000
60000988,2019-07-04,10000.00000000000000000000
60001668,2019-02-08,16150.32679000000000000000
60001678,2019-05-21,13384.86000000000000000000
60001808,2019-03-11,23236.76000000000000000000
60002588,2019-02-25,6217.31000000000000000000
60002758,2019-02-19,5353.33000000000000000000
60002868,2019-06-17,11972.21000000000000000000
60005018,2019-04-16,20000.00000000000000000000
60005058,2019-07-11,26875.00000000000000000000
60005078,2019-07-10,10000.00000000000000000000
60005098,2019-12-13,16000.00000000000000000000
60005158,2019-08-02,100.00000000000000000000
60005558,2019-03-27,19585.02000000000000000000
60005618,2019-05-29,5000.00000000000000000000
60006538,2019-02-26,22940.00000000000000000000
60006568,2019-09-19,20000.00000000000000000000
60007728,2019-04-30,27650.62000000000000000000
60008078,2019-06-12,14937.95000000000000000000
60008118,2019-02-28,12424.52000000000000000000
60008228,2019-03-15,20150.00000000000000000000
60008718,2019-08-07,2500.00000000000000000000
60008778,2019-02-26,20000.00000000000000000000
60008888,2019-08-02,13281.00000000000000000000
60008918,2019-02-22,20940.00000000000000000000
60009168,2019-07-08,42010.10000000000000000000
60010288,2019-09-25,35254.60000000000000000000
60010518,2019-03-08,35000.00000000000000000000
60010538,2019-07-29,1.00000000000000000000
60010658,2019-10-18,11215.12000000000000000000
60010718,2019-11-19,10000.00000000000000000000
60012108,2019-08-22,10000.00000000000000000000
60012188,2019-04-30,15500.00000000000000000000
60012218,2019-02-20,34000.00000000000000000000
60012728,2019-02-15,20150.00000000000000000000
60012758,2019-03-15,20000.00000000000000000000
60012968,2019-03-28,25000.00000000000000000000
60012988,2019-02-15,40000.00000000000000000000
60015118,2019-11-06,7447.09000000000000000000
60015158,2019-02-15,4837.07000000000000000000
60016138,2019-02-25,8555.28000000000000000000
60016668,2019-11-22,21792.42000000000000000000
60016678,2019-10-23,18620.96000000000000000000
60016768,2019-08-12,29939.91000000000000000000
60016808,2019-02-19,20040.00000000000000000000
60016858,2019-02-27,19940.00000000000000000000
60017528,2019-07-05,15207.72000000000000000000
60018018,2019-11-15,19483.03000000000000000000
60018028,2019-09-25,11825.00000000000000000000
60018678,2019-02-14,718.20000000000000000000
60026008,2019-05-03,10000.00000000000000000000
60080788,2019-02-11,23444.53000000000000000000
60085268,2019-02-27,38457.16000000000000000000
60087508,2019-10-14,10000.00000000000000000000
60089218,2019-02-19,21835.00000000000000000000
60089968,2019-02-22,6789.69000000000000000000
60800018,2019-06-17,5000.00000000000000000000
60800058,2019-07-03,20000.00000000000000000000
60800098,2019-04-04,29770.00000000000000000000
60800918,2019-02-01,25435.27000000000000000000
60800958,2019-05-09,15000.00000000000000000000
60801108,2019-06-03,15920.23000000000000000000
60801478,2019-04-18,36178.89000000000000000000
60801488,2019-10-23,20924.00000000000000000000
60801508,2019-02-18,21000.00000000000000000000
60801558,2019-10-17,3100.00000000000000000000
60801588,2019-03-20,126279.35000000000000000000
60801688,2019-10-18,3647.89000000000000000000
60801858,2019-06-19,52949.26000000000000000000
60801868,2019-10-25,58939.64414200000000000000
60801888,2019-09-23,30309.12000000000000000000
60802098,2019-03-18,6169.19000000000000000000
60802128,2019-12-12,11599.00000000000000000000
60803378,2019-02-28,21140.61000000000000000000
60803608,2019-07-19,10000.00000000000000000000
60803618,2019-09-30,29627.91000000000000000000
60803878,2019-02-19,2266.60000000000000000000
