account_id,cash_in_first_day,asset_first_in,cash_out_first_day,cash_out_first_day_amount
11351356,2019-05-07,15026.17000000000000000000,2019-07-23,60368.91
11886666,2019-03-29,14995.44000000000000000000,2019-09-27,36588.009999999995
12260609,2019-03-18,1593.32000000000000000000,2019-07-31,106030.97
18669555,2019-10-30,20000.00000000000000000000,2019-11-08,19985.010000000002
19751008,2019-06-03,2468738.79000000000000000000,2019-06-05,2504861.83
19860923,2019-04-15,20000.00000000000000000000,2019-12-18,79435.34
19880818,2019-08-02,8320.08376500000000000000,2019-09-25,6609.7
20070608,2019-03-12,125228.74246000000000000000,2019-07-29,549911.36
20081218,2019-02-18,49744.30475500000000000000,2019-12-06,1255686.29
20171101,2019-03-22,80.66000000000000000000,2019-12-06,-5710.21
20429012,2019-02-18,10000.00000000000000000000,2019-03-21,13067.44000000000000000000
28808057,2019-05-14,15683.00000000000000000000,2019-08-06,15930.54
33333333,2019-03-26,20513830.20148375320800000000,2019-04-02,0E-20
33946889,2019-05-14,15000.00000000000000000000,2019-06-13,14704.720000000001
36393828,2019-05-22,15000.00000000000000000000,2019-06-28,18922.84
53159995,2019-04-24,10000.00000000000000000000,2019-09-02,10189.75
54458866,2019-03-04,30188.00000000000000000000,2019-07-10,29817.57
59352575,2019-03-11,50000.00000000000000000000,2019-03-21,9560.00000000000000000000
60000058,2019-02-27,23305.00000000000000000000,2019-09-17,81043.53
60000118,2019-04-17,5965.99000000000000000000,2019-08-09,20110.92
60000138,2019-04-11,18818.41000000000000000000,2019-09-02,22784.17
60000558,2019-02-15,19828.43000000000000000000,2019-02-20,84.47000000000000000000
60000838,2019-02-18,15631.86000000000000000000,2019-04-29,11548.79000000000000000000
60000888,2019-03-20,16262.83000000000000000000,2019-03-19,17787.50000000000000000000
60000928,2019-09-30,23046.59000000000000000000,2019-08-13,22569.54
60000988,2019-07-04,10000.00000000000000000000,2019-02-11,49512.82000000000000000000
60001668,2019-02-08,16150.32679000000000000000,2019-12-17,517957.58
60001678,2019-05-21,13384.86000000000000000000,2019-04-12,5749.71000000000000000000
60001808,2019-03-11,23236.76000000000000000000,2019-10-28,28469.26
60002588,2019-02-25,6217.31000000000000000000,2019-04-23,553229.01000000000000000000
60002758,2019-02-19,5353.33000000000000000000,2019-04-01,6182.57000000000000000000
60002868,2019-06-17,11972.21000000000000000000,2019-03-15,3452.60000000000000000000
60005018,2019-04-16,20000.00000000000000000000,2019-07-10,39733.73
60005058,2019-07-11,26875.00000000000000000000,2019-12-13,19696.74
60005078,2019-07-10,10000.00000000000000000000,2019-07-26,20347.87
60005098,2019-12-13,16000.00000000000000000000,2019-09-24,16192.77
60005158,2019-08-02,100.00000000000000000000,2019-10-25,29497.54
60005558,2019-03-27,19585.02000000000000000000,2019-03-04,0E-20
60005618,2019-05-29,5000.00000000000000000000,2019-05-24,0E-20
60006538,2019-02-26,22940.00000000000000000000,2019-10-25,23726.38
60006568,2019-09-19,20000.00000000000000000000,2019-12-10,44560.56
60007728,2019-04-30,27650.62000000000000000000,2019-07-30,30729.71
60008078,2019-06-12,14937.95000000000000000000,2019-09-16,26878.71
60008118,2019-02-28,12424.52000000000000000000,2019-06-17,45548.49
60008228,2019-03-15,20150.00000000000000000000,2019-05-27,8150.47000000000000000000
60008718,2019-08-07,2500.00000000000000000000,2019-10-04,32466.92
60008778,2019-02-26,20000.00000000000000000000,2019-09-18,16601.07
60008888,2019-08-02,13281.00000000000000000000,2019-09-23,16439.440000000002
60008918,2019-02-22,20940.00000000000000000000,2019-04-08,17069.45000000000000000000
60009168,2019-07-08,42010.10000000000000000000,2019-07-08,44010.1
60010288,2019-09-25,35254.60000000000000000000,2019-09-30,43173.93
60010518,2019-03-08,35000.00000000000000000000,2019-11-26,21376.27
60010538,2019-07-29,1.00000000000000000000,2019-08-19,29680.21
60010658,2019-10-18,11215.12000000000000000000,2019-12-20,24219.05
60010718,2019-11-19,10000.00000000000000000000,2019-11-26,10015.74
60012108,2019-08-22,10000.00000000000000000000,2019-11-25,32579.5
60012188,2019-04-30,15500.00000000000000000000,2019-07-12,14640.93
60012218,2019-02-20,34000.00000000000000000000,2019-09-20,63379.2
60012728,2019-02-15,20150.00000000000000000000,2019-03-18,12471.64000000000000000000
60012758,2019-03-15,20000.00000000000000000000,2019-09-17,20001.86
60012968,2019-03-28,25000.00000000000000000000,2019-08-30,27805.39
60012988,2019-02-15,40000.00000000000000000000,2019-12-19,103463.2
60015118,2019-11-06,7447.09000000000000000000,2019-12-17,8968.51
60015158,2019-02-15,4837.07000000000000000000,2019-03-18,4048.44482500000000000000
60016138,2019-02-25,8555.28000000000000000000,2019-07-10,143570.64
60016668,2019-11-22,21792.42000000000000000000,2019-11-22,22792.42
60016678,2019-10-23,18620.96000000000000000000,2019-11-08,25294.37
60016768,2019-08-12,29939.91000000000000000000,2019-08-13,29939.91
60016808,2019-02-19,20040.00000000000000000000,2019-12-17,20015.91
60016858,2019-02-27,19940.00000000000000000000,2019-11-28,33050.29
60017528,2019-07-05,15207.72000000000000000000,2019-03-15,15119.49000000000000000000
60018018,2019-11-15,19483.03000000000000000000,2019-10-04,78461.57
60018028,2019-09-25,11825.00000000000000000000,2019-05-09,13805.43000000000000000000
60018678,2019-02-14,718.20000000000000000000,2019-12-12,44828.79
60026008,2019-05-03,10000.00000000000000000000,2019-04-08,0E-20
60080788,2019-02-11,23444.53000000000000000000,2019-08-07,9640.36
60085268,2019-02-27,38457.16000000000000000000,2019-03-27,21955.85000000000000000000
60087508,2019-10-14,10000.00000000000000000000,2019-11-15,10402.83
60089218,2019-02-19,21835.00000000000000000000,2019-12-04,21225.32
60089968,2019-02-22,6789.69000000000000000000,2019-04-09,16079.11000000000000000000
60800018,2019-06-17,5000.00000000000000000000,2019-08-06,5098.04
60800058,2019-07-03,20000.00000000000000000000,2019-12-13,12736.28
60800098,2019-04-04,29770.00000000000000000000,2019-11-25,61141.01
60800918,2019-02-01,25435.27000000000000000000,2019-08-05,33770.17
60800958,2019-05-09,15000.00000000000000000000,2019-06-19,31461.14
60801108,2019-06-03,15920.23000000000000000000,2019-03-29,11331.01000000000000000000
60801478,2019-04-18,36178.89000000000000000000,2019-04-23,36668.89000000000000000000
60801488,2019-10-23,20924.00000000000000000000,2019-10-23,20935.0
60801508,2019-02-18,21000.00000000000000000000,2019-03-25,0E-20
60801558,2019-10-17,3100.00000000000000000000,2019-10-22,89157.76999999999
60801588,2019-03-20,126279.35000000000000000000,2019-03-18,76279.35000000000000000000
60801688,2019-10-18,3647.89000000000000000000,2019-08-22,3657.89
60801858,2019-06-19,52949.26000000000000000000,2019-09-03,51952.26
60801868,2019-10-25,58939.64414200000000000000,2019-06-27,58735.87
60801888,2019-09-23,30309.12000000000000000000,2019-09-24,30309.12
60802098,2019-03-18,6169.19000000000000000000,2019-02-01,8629.83000000000000000000
60802128,2019-12-12,11599.00000000000000000000,2019-08-02,10530.89
60803378,2019-02-28,21140.61000000000000000000,2019-06-27,18984.760000000002
60803608,2019-07-19,10000.00000000000000000000,2019-08-13,10000.0
60803618,2019-09-30,29627.91000000000000000000,2019-09-20,48936.53
60803878,2019-02-19,2266.60000000000000000000,2019-04-18,516.77000000000000000000
60805878,2019-02-27,20100.00000000000000000000,2019-04-01,0E-20
